"TimeCreated","EventID","ServiceName","ServiceFileName","ServiceType","ServiceStartType"
"9/6/2018 10:26:36 PM","7045","  mnemosyne","  C:\windows/Mnemosyne.sys","  kernel mode driver","  demand start"
"9/6/2018 8:28:31 PM","7045","  mnemosyne","  C:\windows/Mnemosyne.sys","  kernel mode driver","  demand start"
"9/6/2018 8:28:30 PM","7045","  F-Response Subject","  C:\windows\subject_srv.exe -s ""base-hunt.shieldbase.lan:5682"" -l 3262 -v ""F-Response Subject"" -k ""155522845""","  user mode service","  auto start"
"8/30/2018 6:42:44 PM","7045","  fb9f33e","  \\127.0.0.1\ADMIN$\35da1b7.exe","  user mode service","  demand start"
"8/28/2018 3:09:03 AM","7045","  24f8f7e","  \\127.0.0.1\ADMIN$\3795920.exe","  user mode service","  demand start"
"8/28/2018 3:07:39 AM","7045","  bce5a5c","  \\127.0.0.1\C$\d8a3a84.exe","  user mode service","  demand start"
"8/28/2018 3:05:03 AM","7045","  9c3ae67","  \\127.0.0.1\ADMIN$\e75f2c4.exe","  user mode service","  demand start"
"8/28/2018 2:57:32 AM","7045","  56e3de4","  \\127.0.0.1\ADMIN$\8f14386.exe","  user mode service","  demand start"
"8/28/2018 2:11:40 AM","7045","  7578d93","  \\127.0.0.1\C$\78d7cb6.exe","  user mode service","  demand start"
"8/28/2018 1:57:45 AM","7045","  a03d616","  \\127.0.0.1\C$\a34e015.exe","  user mode service","  demand start"
"5/14/2018 7:24:16 AM","7045","  Adobe Acrobat Update Service","  ""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","  user mode service","  auto start"
"5/14/2018 7:19:36 AM","7045","  Microsoft Office Click-to-Run Service","  ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","  user mode service","  auto start"
"5/9/2018 4:49:46 PM","7045","  McAfee Host Intrusion Prevention lpc Service","  ""C:\Program Files (x86)\McAfee\Host Intrusion Prevention\HipMgmt.exe""","  user mode service","  auto start"
"5/9/2018 4:49:46 PM","7045","  McAfee Host Intrusion Prevention Service","  ""C:\Program Files\McAfee\Host Intrusion Prevention\FireSvc.exe""","  user mode service","  auto start"
"5/9/2018 4:49:44 PM","7045","  McAfee LLC. HipShieldK","  \SystemRoot\system32\DRIVERS\HipShieldK.sys","  kernel mode driver","  demand start"
"5/9/2018 4:49:43 PM","7045","  McAfee LLC FireNfcp","  \SystemRoot\system32\DRIVERS\FireNfcp.sys","  kernel mode driver","  demand start"
