"TimeCreated","AccountName","AccountDomain","SourceIP","Sourcesystemname","LogonID","EventID"
"9/5/2018 3:48:28 PM","spsql","shieldbase","172.16.6.14","shield","0xD9FB14D","4779"
"9/5/2018 3:28:12 PM","spsql","shieldbase","172.16.6.14","shield","0xD9FB14D","4779"
"8/31/2018 8:31:06 PM","spsql","shieldbase","172.16.6.14","hydra","0x2E69BED","4779"
"8/31/2018 4:52:29 PM","tdungan","shieldbase","LOCAL","Unknown","0xC9FAE","4779"
"8/28/2018 11:39:10 PM","tdungan","shieldbase","LOCAL","Unknown","0x153003","4779"
"8/2/2018 5:46:49 AM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/31/2018 9:25:46 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/30/2018 6:47:24 AM","tdungan","shieldbase","192.168.30.11","DUNGANATOR","0x2A8EACE","4779"
"7/28/2018 3:37:55 AM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/26/2018 6:28:13 AM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/26/2018 6:26:31 AM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/26/2018 6:25:58 AM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/23/2018 6:32:19 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/23/2018 5:50:09 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/23/2018 4:49:12 PM","tdungan","shieldbase","LOCAL","Unknown","0x2A8EACE","4779"
"7/20/2018 5:28:57 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/18/2018 5:15:04 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/18/2018 5:04:25 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/18/2018 5:03:35 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
"7/17/2018 9:06:57 PM","tdungan","shieldbase","192.168.30.10","DUNGANATOR","0x2A8EACE","4779"
