TimeGenerated,EventID,AccountName,AccountDomain,ServiceName,SourceIP,SourcePort
2016-10-06 03:49:00,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 03:50:49,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.102,49221
2016-10-06 04:04:02,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 04:19:03,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 04:34:05,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 04:49:06,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:04:08,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:12:53,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49328
2016-10-06 05:19:09,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:23:38,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::1,0
2016-10-06 05:26:58,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49260
2016-10-06 05:34:10,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:38:48,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:38:50,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:38:50,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:39:11,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 05:43:51,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49287
2016-10-06 05:49:12,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 06:04:13,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 06:04:23,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 06:19:15,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 06:34:16,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
