TimeGenerated,EventID,AccountName,AccountDomain,LogonID,SourceIP,SourcePort,ShareName
2016-10-06 03:47:21,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1f9ce72,fe80::4888:72d0:4f06:d1a1,49549,\\*\SYSVOL
2016-10-06 03:49:17,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,49553,\\*\IPC$
2016-10-06 03:51:00,5140,WIN7_64JP_02$,EXAMPLE,0x1fa08ac,192.168.16.102,49226,\\*\IPC$
2016-10-06 03:51:19,5140,Administrator,EXAMPLE,0x32cfb,fe80::4888:72d0:4f06:d1a1,49558,\\*\SYSVOL
2016-10-06 03:52:25,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fa22eb,fe80::4888:72d0:4f06:d1a1,49561,\\*\IPC$
2016-10-06 03:52:25,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fa22eb,fe80::4888:72d0:4f06:d1a1,49561,\\*\SYSVOL
2016-10-06 03:53:55,5140,WIN7_64JP_01$,EXAMPLE,0x1fa3789,192.168.16.101,49257,\\*\IPC$
2016-10-06 03:54:05,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fa3a81,fe80::4888:72d0:4f06:d1a1,49567,\\*\SYSVOL
2016-10-06 03:57:30,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fa728a,fe80::4888:72d0:4f06:d1a1,49570,\\*\SYSVOL
2016-10-06 04:00:55,5140,WIN7_64JP_03$,EXAMPLE,0x1fa7a22,192.168.16.103,49263,\\*\IPC$
2016-10-06 04:02:34,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fa7d73,fe80::4888:72d0:4f06:d1a1,49576,\\*\SYSVOL
2016-10-06 04:04:05,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fa89a7,fe80::4888:72d0:4f06:d1a1,49580,\\*\IPC$
2016-10-06 04:04:05,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fa89a7,fe80::4888:72d0:4f06:d1a1,49580,\\*\SYSVOL
2016-10-06 04:04:17,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,49581,\\*\IPC$
2016-10-06 04:06:00,5140,WIN7_64JP_02$,EXAMPLE,0x1fa929f,192.168.16.102,49231,\\*\IPC$
2016-10-06 04:07:38,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fabf71,fe80::4888:72d0:4f06:d1a1,49588,\\*\IPC$
2016-10-06 04:07:38,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fabf71,fe80::4888:72d0:4f06:d1a1,49588,\\*\SYSVOL
2016-10-06 04:08:55,5140,WIN7_64JP_01$,EXAMPLE,0x1fac2cf,192.168.16.101,49267,\\*\IPC$
2016-10-06 04:12:42,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1faca0e,fe80::4888:72d0:4f06:d1a1,49596,\\*\SYSVOL
2016-10-06 04:14:05,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1facfdb,fe80::4888:72d0:4f06:d1a1,49600,\\*\SYSVOL
2016-10-06 04:15:55,5140,WIN7_64JP_03$,EXAMPLE,0x1fad33c,192.168.16.103,49270,\\*\IPC$
2016-10-06 04:17:46,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x1fad658,fe80::4888:72d0:4f06:d1a1,49603,\\*\SYSVOL
2016-10-06 04:19:17,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,49607,\\*\IPC$
