TimeGenerated,EventID,User,Domain,SourceIP
2020-11-07 17:57:18,1149,SANSDFIR,,192.168.1.10
2020-11-07 18:01:25,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-07 19:46:18,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-07 19:46:29,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-07 23:07:03,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-08 01:24:23,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-08 01:24:40,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-14 11:32:57,1149,SANSDFIR,,192.168.1.10
2020-11-14 11:33:39,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-14 12:55:39,1149,SANSDFIR,,192.168.1.10
2020-11-14 12:57:20,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-14 12:57:32,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-14 14:40:22,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-14 15:57:34,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-14 21:46:46,1149,SANSDFIR,,192.168.1.10
2020-11-14 21:46:51,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-14 23:07:33,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 13:50:57,1149,SANSDFIR,,192.168.1.10
2020-11-15 13:51:11,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 14:28:54,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 14:28:56,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 15:28:30,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 16:38:27,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 17:38:29,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 18:40:03,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 20:57:51,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 20:57:56,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 21:51:26,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 22:16:42,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-15 23:13:50,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-16 00:48:12,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 16:14:25,1149,SANSDFIR,,192.168.1.10
2020-11-21 16:14:31,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 17:33:02,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 18:39:18,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 18:40:03,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 18:40:16,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 20:33:43,1149,SANSDFIR,,192.168.1.10
2020-11-21 20:33:46,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 23:00:45,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-21 23:01:01,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-22 15:08:35,1149,SANSDFIR,,192.168.1.10
2020-11-22 15:14:06,1149,SANSDFIR,,192.168.1.10
2020-11-22 15:38:35,1149,SANSDFIR,,192.168.1.10
2020-11-22 18:46:25,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-22 18:55:37,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-22 21:12:55,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-23 16:38:50,1149,SANSDFIR,,192.168.1.10
2020-11-23 18:19:41,1149,SANSDFIR,,192.168.1.10
2020-11-27 17:21:56,1149,SANSDFIR,,192.168.1.10
2020-11-27 18:00:52,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-27 20:40:06,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-27 20:47:37,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-28 18:12:12,1149,SANSDFIR,,192.168.1.10
2020-11-28 19:06:23,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-28 19:07:05,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-28 21:45:08,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-28 22:35:54,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-29 16:18:16,1149,SANSDFIR,,192.168.1.10
2020-11-29 18:28:08,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-29 22:53:08,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 12:44:47,1149,SANSDFIR,,192.168.1.10
2020-11-30 14:41:20,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 15:17:29,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 15:32:55,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 15:40:48,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 16:01:07,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 16:24:11,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 16:36:25,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 16:49:44,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 17:39:05,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 19:21:05,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 19:42:34,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 20:02:59,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-11-30 20:47:07,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-01 11:24:36,1149,SANSDFIR,,192.168.1.10
2020-12-01 13:36:53,1149,SANSDFIR,,192.168.1.10
2020-12-01 14:26:48,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-01 17:58:20,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-05 20:32:56,1149,SANSDFIR,,192.168.1.10
2020-12-05 22:48:45,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-05 22:57:44,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-06 10:41:02,1149,SANSDFIR,,192.168.1.10
2020-12-06 10:56:13,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-06 12:49:02,1149,SANSDFIR,,192.168.1.10
2020-12-06 17:14:40,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-06 20:09:32,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 17:39:55,1149,SANSDFIR,,192.168.1.10
2020-12-07 18:31:54,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 18:57:26,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 20:50:07,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 21:01:57,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 21:13:20,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 21:32:17,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 22:04:31,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 23:13:23,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-07 23:26:39,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2020-12-08 11:28:03,1149,SANSDFIR,,192.168.1.10
2020-12-08 14:50:56,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2021-02-07 13:02:38,1149,SANSDFIR,,192.168.1.10
2021-02-07 18:42:40,1149,SANSDFIR,,192.168.1.10
2021-02-07 20:50:33,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2021-02-07 22:28:57,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2021-02-07 22:42:41,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2021-02-24 10:22:15,1149,SANSDFIR,,192.168.1.10
2021-02-24 10:24:29,1149,SANSDFIR,,192.168.1.10
2021-02-24 12:27:57,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2021-02-24 13:07:41,1149,SANSDFIR,SANS-SIFT,192.168.1.10
2021-03-04 14:02:08,1149,SANSDFIR,,192.168.1.9
2021-03-04 16:19:17,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-04 20:16:53,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-04 20:44:04,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-09 14:20:42,1149,SANSDFIR,,192.168.1.9
2021-03-09 16:23:00,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-09 16:43:45,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-09 16:45:33,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-09 20:49:37,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-10 09:57:10,1149,SANSDFIR,,192.168.1.9
2021-03-17 15:09:28,1149,SANSDFIR,,192.168.1.9
2021-03-17 17:53:55,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-17 21:32:53,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-03-21 15:20:01,1149,SANSDFIR,,192.168.1.9
2021-03-31 15:38:42,1149,SANSDFIR,,192.168.1.9
2021-03-31 16:19:20,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-04-01 07:49:12,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-04-01 09:45:26,1149,SANSDFIR,SANS-SIFT,192.168.1.9
2021-04-08 13:06:45,1149,SANSDFIR,,192.168.1.9
