TimeGenerated,EventID,HostApplication
2018-11-20 08:10:33,400,"PowerShell -Command &{ Get-PSDrive -PSProvider FileSystem | Where-Object { $_.Used -gt 0 } | ForEach-Object { $esdOriginalFilePath = 'G:\\Windows10Upgrade\\*.esd'; $driveName = $_.Name; $esdFilePath = $esdOriginalFilePath -replace '^\w',$driveName; if (Test-Path $esdFilePath) { Remove-Item $esdFilePath } } } EngineVersion=5.1.17763.1 RunspaceId=328a83f4-6028-4209-b2c2-1b58748b106b PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= "
2018-11-28 06:56:49,400,PowerShell.exe -noexit -command Set-Location -literalPath 'G:\EDR-triage' EngineVersion=5.1.17763.134 RunspaceId=b3c8e88f-d903-4260-b23c-93fe278dd9e5 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-11-28 06:58:00,400,powershell EngineVersion=5.1.17763.134 RunspaceId=b334200e-b56a-48a1-8694-3bba4f4e285d PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-04 06:36:45,400,powershell EngineVersion=5.1.17763.134 RunspaceId=7ea08bae-ee50-4a3f-ae69-260a88b4cc68 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-04 06:37:08,400,powershell EngineVersion=5.1.17763.134 RunspaceId=4acc30bf-2ef0-41bd-8d26-7130ac596f52 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 01:27:24,400,powershell EngineVersion=5.1.17763.134 RunspaceId=16003a21-f8e9-43a1-8a80-4660452ae8d4 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 01:44:38,400,powershell EngineVersion=5.1.17763.134 RunspaceId=2c892261-2457-453a-917e-ec350390daf8 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 01:45:57,400,powershell EngineVersion=5.1.17763.134 RunspaceId=fd98b533-0ba5-4cdb-a3b3-826ef54d0a4b PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 22:54:37,400,powershell EngineVersion=5.1.17763.134 RunspaceId=747bb51c-c91f-44ff-a30c-70facc1446a3 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 23:03:29,400,C:\WINDOWS\system32\wsmprovhost.exe -Embedding EngineVersion=5.1.17763.134 RunspaceId=f1934369-2f47-4b54-a9aa-11552c21a8c2 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 23:03:58,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Version 5.1 -s -NoLogo -NoProfile EngineVersion=5.1.17763.134 RunspaceId=117633a5-f413-4fae-ab63-fca26fe3db87 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 23:04:01,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Version 5.1 -s -NoLogo -NoProfile EngineVersion=5.1.17763.134 RunspaceId=1ec504a7-9a4d-47ca-8b5a-165de1b71865 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 23:04:02,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Version 5.1 -s -NoLogo -NoProfile EngineVersion=5.1.17763.134 RunspaceId=7de1e97e-7f7a-4115-90fe-499c1977e8a3 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-05 23:04:05,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Version 5.1 -s -NoLogo -NoProfile EngineVersion=5.1.17763.134 RunspaceId=9860362e-479e-4d53-a6c7-09c86e561e4c PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-06 22:54:20,400,powershell EngineVersion=5.1.17763.134 RunspaceId=8fde5c70-2934-4156-8c22-df280c0522e5 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-10 20:45:36,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=14e16027-1ecc-4511-b0e9-78af8a76629f PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-10 20:45:40,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=91c3b618-16bb-426d-9119-6a2ef88e03ad PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-11 05:14:58,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=3567327b-c2e0-4491-889a-55e8b07b455e PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-11 05:15:03,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=cf5c070e-ee62-4c84-93ae-8f97724a8056 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-11 22:02:18,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe EngineVersion=5.1.17763.134 RunspaceId=5dba9789-1a63-48be-8385-e707ada8dc6a PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-11 22:03:46,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe EngineVersion=5.1.17763.134 RunspaceId=5e272532-76a4-4c8e-baef-789338fe90cc PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-12 03:09:41,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=87e694c5-90a2-4a2b-ba77-f54776410a24 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-12 03:09:45,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=8a5e0c7f-a86b-4106-988e-163a857e6581 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-14 20:44:08,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=b7305da4-cf46-4738-b7b8-c43f5bc5e73f PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-14 20:44:12,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=1ee92a06-6e1c-417c-80ce-5058a4f72a3f PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-14 20:54:11,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=e277f0c9-2d0e-46b1-bbd7-92642a3a78aa PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-14 20:54:13,400,C:\Forensic Program Files\Arsenal Image Mounter v2.0.010.0 x64\Arsenal Image Mounter v2.0.010.0.exe EngineVersion=5.1.17763.134 RunspaceId=2ee4ce21-91e3-4cb8-8ea7-ebb042694d44 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2018-12-23 03:28:53,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe EngineVersion=5.1.17763.134 RunspaceId=9287f0b5-a558-40bb-9059-2f29009a23da PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2020-11-07 20:21:30,400,powershell EngineVersion=5.1.17763.134 RunspaceId=041ec7a8-0a5b-453a-9939-456304d67b88 PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2020-11-07 20:43:58,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe EngineVersion=5.1.17763.134 RunspaceId=7e790541-dbcc-4202-a370-94865c1d87cf PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
2020-11-14 12:58:24,400,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe EngineVersion=5.1.17763.134 RunspaceId=8bc8165c-dae2-4fb2-890f-204ee089c15a PipelineId= CommandName= CommandType= ScriptName= CommandPath= CommandLine= 
