TimeGenerated,EventID,ServiceName,ChangedFrom,ChangedTo
2018-11-20 08:02:25,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-20 08:08:19,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-20 08:09:33,7040,Remote Access IP ARP Driver,demand start,auto start
2018-11-20 14:50:52,7040,Microsoft Passport Container,demand start,disabled
2018-11-20 14:50:52,7040,Microsoft Passport Container,disabled,demand start
2018-11-20 14:50:55,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-20 14:52:58,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-20 14:55:07,7040,Windows Modules Installer,demand start,auto start
2018-11-20 14:55:08,7040,Windows Modules Installer,auto start,demand start
2018-11-20 14:55:57,7040,Windows Modules Installer,demand start,auto start
2018-11-20 14:56:33,7040,Windows Modules Installer,auto start,demand start
2018-11-20 14:57:00,7040,Windows Modules Installer,demand start,auto start
2018-11-20 14:57:13,7040,Windows Modules Installer,auto start,demand start
2018-11-20 14:57:14,7040,Windows Modules Installer,demand start,auto start
2018-11-20 14:57:20,7040,Windows Modules Installer,auto start,demand start
2018-11-20 14:57:47,7040,Windows Modules Installer,demand start,auto start
2018-11-20 15:13:00,7040,Windows Modules Installer,auto start,demand start
2018-11-20 15:13:10,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-20 15:45:49,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-20 19:11:40,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-20 19:13:42,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-20 19:23:45,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-20 19:27:50,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-26 04:00:41,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-26 04:01:11,7040,Windows Modules Installer,demand start,auto start
2018-11-26 04:01:11,7040,Windows Modules Installer,auto start,demand start
2018-11-27 23:02:52,7040,Windows Modules Installer,demand start,auto start
2018-11-27 23:02:52,7040,Windows Modules Installer,auto start,demand start
2018-11-27 23:07:24,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-27 23:57:25,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-28 00:01:29,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-28 06:51:37,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-28 06:54:09,7040,Windows Modules Installer,demand start,auto start
2018-11-28 06:56:05,7040,Windows Modules Installer,auto start,demand start
2018-11-28 07:00:56,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-28 07:11:07,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-28 07:11:08,7040,Windows Modules Installer,demand start,auto start
2018-11-28 07:12:57,7040,Windows Modules Installer,auto start,demand start
2018-11-28 07:12:57,7040,Windows Modules Installer,demand start,auto start
2018-11-28 07:13:16,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-28 07:17:49,7040,Windows Modules Installer,auto start,demand start
2018-11-29 00:57:57,7040,Windows Modules Installer,demand start,auto start
2018-11-29 00:57:57,7040,Windows Modules Installer,auto start,demand start
2018-11-29 03:03:20,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-29 03:05:24,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-29 19:41:54,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-29 19:51:58,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-30 01:41:09,7040,Windows Modules Installer,demand start,auto start
2018-11-30 01:41:09,7040,Windows Modules Installer,auto start,demand start
2018-11-30 05:41:44,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-30 05:43:48,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-30 15:41:50,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-30 15:51:56,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-30 20:33:55,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-30 20:36:30,7040,Background Intelligent Transfer Service,auto start,demand start
2018-11-30 21:48:25,7040,Background Intelligent Transfer Service,demand start,auto start
2018-11-30 21:50:27,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-01 02:45:42,7040,Windows Modules Installer,demand start,auto start
2018-12-01 02:45:42,7040,Windows Modules Installer,auto start,demand start
2018-12-01 03:49:01,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-01 03:51:05,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-01 15:26:56,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-01 15:37:00,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-01 21:48:25,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-01 21:50:28,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-03 05:52:09,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-03 05:52:13,7040,Windows Modules Installer,demand start,auto start
2018-12-03 05:52:14,7040,Windows Modules Installer,auto start,demand start
2018-12-03 06:02:15,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-03 09:28:15,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-03 09:30:18,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-04 05:18:00,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-04 05:20:04,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-04 07:02:01,7040,Windows Modules Installer,demand start,auto start
2018-12-04 07:02:01,7040,Windows Modules Installer,auto start,demand start
2018-12-04 08:26:36,7040,Windows Modules Installer,demand start,auto start
2018-12-04 08:26:36,7040,Windows Modules Installer,auto start,demand start
2018-12-04 19:11:33,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-04 19:13:35,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-04 20:31:51,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-04 20:33:54,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-05 01:38:10,7040,Windows Remote Management (WS-Management),demand start,auto start
2018-12-05 01:45:15,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-05 01:47:25,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-05 03:21:47,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-05 03:23:50,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-05 08:51:58,7040,Windows Modules Installer,demand start,auto start
2018-12-05 08:52:11,7040,Windows Modules Installer,auto start,demand start
2018-12-05 08:52:11,7040,Windows Modules Installer,demand start,auto start
2018-12-05 08:52:11,7040,Windows Modules Installer,auto start,demand start
2018-12-05 08:52:13,7040,Windows Modules Installer,demand start,auto start
2018-12-05 08:52:52,7040,Windows Modules Installer,auto start,demand start
2018-12-05 11:53:04,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-05 11:55:05,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-05 22:52:51,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-05 23:02:55,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-05 23:08:33,7040,Windows Modules Installer,demand start,auto start
2018-12-05 23:09:06,7040,Windows Modules Installer,auto start,demand start
2018-12-05 23:09:07,7040,Windows Modules Installer,demand start,auto start
2018-12-05 23:09:12,7040,Windows Modules Installer,auto start,demand start
2018-12-05 23:18:03,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-05 23:22:07,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-06 04:26:11,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-06 04:28:14,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-06 07:03:34,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-06 07:13:41,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-06 08:05:08,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-06 08:07:29,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-06 08:07:58,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-06 08:10:28,7040,Background Intelligent Transfer Service,auto start,demand start
2018-12-06 08:13:30,7040,Windows Modules Installer,demand start,auto start
2018-12-06 08:31:02,7040,Windows Modules Installer,auto start,demand start
2018-12-06 18:22:57,7040,Background Intelligent Transfer Service,demand start,auto start
2018-12-06 18:23:23,7040,Windows Modules Installer,demand start,auto start
