TimeGenerated,EventID,Username,Domain,LogonType,AuthPackage,Workstation,ProcessName,SourceIP
2018-11-29 19:41:02,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-11-29 19:41:02,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-11-29 19:41:02,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-11-29 19:41:02,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-11-29 19:41:02,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-11-29 19:41:32,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-11-29 19:44:44,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-11-29 19:44:44,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-11-29 21:45:44,4624,SANSDFIR,SANS-SIFT,2,Advapi  ,SANS-SIFT,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,-
2018-11-29 21:45:44,4624,SANSDFIR,SANS-SIFT,2,Advapi  ,SANS-SIFT,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,-
2018-11-29 21:45:58,4624,SANSDFIR,SANS-SIFT,2,Advapi  ,SANS-SIFT,C:\Windows\System32\lsass.exe,-
2018-11-29 21:45:58,4624,SANSDFIR,SANS-SIFT,2,Advapi  ,SANS-SIFT,C:\Windows\System32\lsass.exe,-
2018-11-30 10:41:15,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-11-30 10:41:15,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-11-30 10:41:17,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-11-30 10:41:17,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-11-30 10:41:17,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-11-30 15:41:27,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-11-30 15:41:42,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-11-30 15:41:42,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-11-30 15:41:53,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-11-30 15:41:53,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-01 02:37:16,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-01 02:37:16,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-01 10:26:25,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-01 10:26:26,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
