TimeGenerated,EventID,NameSpace,Query,User,ProcessID,ClientMachine
2020-06-11 00:29:39,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,6892,DESKTOP-IFRTIHK
2021-08-25 19:51:56,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,6584,DESKTOP-16RETNB
2021-08-25 11:30:53,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,4928,DESKTOP-16RETNB
2021-08-25 11:32:36,5860,root\cimv2,select * from Win32_PowerManagementEvent,NT AUTHORITY\SYSTEM,5020,DESKTOP-16RETNB
2021-08-25 11:34:36,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,68,DESKTOP-16RETNB
2021-08-25 11:59:57,5860,root\cimv2,select * from Win32_PowerManagementEvent,NT AUTHORITY\SYSTEM,3908,DESKTOP-16RETNB
2021-08-25 12:02:00,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,3748,DESKTOP-16RETNB
2021-08-25 12:06:01,5860,root\cimv2,select * from Win32_PowerManagementEvent,NT AUTHORITY\SYSTEM,4460,DESKTOP-16RETNB
2021-08-25 12:08:02,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,11280,DESKTOP-16RETNB
2021-08-28 15:20:05,5860,root\cimv2,select * from Win32_PowerManagementEvent,NT AUTHORITY\SYSTEM,4260,DESKTOP-16RETNB
2021-08-28 15:20:43,5860,root\cimv2,select * from Win32_PowerManagementEvent,NT AUTHORITY\SYSTEM,4468,DESKTOP-16RETNB
2021-08-28 15:20:55,5860,ROOT\virtualization\v2,SELECT * FROM __ClassOperationEvent,.\SYSTEM,0,
2021-08-28 15:22:45,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,6448,DESKTOP-16RETNB
2021-08-29 00:38:19,5860,root\virtualization\v2,SELECT * FROM __ClassOperationEvent,.\SYSTEM,0,
2021-08-29 00:38:21,5860,root\cimv2,select * from Win32_PowerManagementEvent,NT AUTHORITY\SYSTEM,4476,DESKTOP-16RETNB
2021-08-29 00:40:23,5860,ROOT\SecurityCenter,SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct',NT AUTHORITY\LOCAL SERVICE,11892,DESKTOP-16RETNB
